Source:,G:\WSP-KiCad6\quick-feather-dev-board-master\quickfeather-board.kicad_sch,,,,,,,,,,
Date:,8/27/2022 15:30,,,,,,,,,,
Tool:,Eeschema (6.0.7),,,,,,,,,,
Generator:,F:\Program Files\KiCad6\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py,,,,,,,,,,
Component Count:,101,,,,,,,,,,
,,,,,,,,,,,
Individual Components:,,,,,,,,,,,
,,,,,,,,,,,
Item,Qty,Reference(s),Value,MPN,Manufacturer,Val,,,,,
7,1,D1,MBR0520LT1G,MBR0520LT1G,ON Semiconductor,,,3,,,
8,1,D2,LG_L29K-G2J1-24-Z,LG L29K-G2J1-24-Z,OSRAM Opto Semiconductors Inc.,,,3,,,
9,3,"D3, D5, D11",TPD2EUSB30DRTR,TPD2EUSB30DRTR,Texas Instruments,,,9,,,
10,1,D4,ASMB-MTB1-0A3A2,UHD1110-FKA,Broadcom,,,3,,,
11,1,D6,SD05C.TCT,SD05C.TCT,Semtec,,,3,,,
12,1,IC1,EOS-S3-BGA64,EOSA1-S-PUN64,QuickLogic,,,3,,,
13,2,"J1, J7",61300211121,61300211121,Wurth Electronic,,,6,,,
14,1,J2,1x12_pinhead,MC34733,Multicomp,,,3,,,
15,1,J3,1x16_pinhead,61301611121,Wurth Elektronik,,,3,,,
16,1,J4,S2B-PH-SM4-TB_LF__SN_,S2B-PH-SM4-TB(LF)(SN),JST Sales America Inc.,,,3,,,
17,1,J5,473460001,473460001,Molex,,,3,,,
18,1,J6,FTSH-105-01-L-DV-K,FTSH-105-01-L-DV-K,Samtec Inc.,,,3,,,
19,1,J8,2x8_pinhead,2213S-16G ,Multicomp,,,3,,,
20,1,L1,DFE201610E-R47M=P2,DFE201610E-R47M=P2,Murata,,,3,,,
21,4,"M1, M2, M3, M4",mounting_pad,,,,,12,,,
22,1,MIC1,IM69D130,IM69D130,Infineon,,,3,,,
23,1,N1,oshw_logo,,,,,3,,,
24,1,N2,ql_logo,,,,,3,,,
25,1,Q1,NX3008CBKV,NX3008CBKV,Nexperia,,,3,,,
26,2,"Q2, Q3",2N7002PV,2N7002PV,Nexperia,,,6,,,
27,1,Q4,DMG1012T-7,DMG1012T-7,Diodes Incorporated,,,3,,,
28,1,R1,R_1M5_0402,MCWR04W1504FTL,Multicomp,1M5,,3,,,
29,3,"R2, R18, R20",R_4k7_0402,ERJ2GEJ472X,PANASONIC_ELECTRONIC_COMPONENTS,4k7,,9,,,
30,3,"R3, R9, R27",R_1k5_0402,ERJ2RKF1501X,PANASONIC_ELECTRONIC_COMPONENTS,1k5,,9,,,
31,1,R4,R_453k_0402,CRCW0402453KFKED,VISHAY,453k,,3,,,
32,3,"R5, R12, R17",R_100k_0402,CRCW0402100KFKEDHP,VISHAY,100k,,9,,,
